X,Y,Z,LPE_Z
0,0,0,0
0.00555657,0.00219739,0.000942904,0
-0.0143598,0.0419809,0.00851219,0
-0.0226601,0.0591946,0.0573203,0
-0.0966086,-0.0238347,0.118749,0
-0.163429,-0.0613996,0.200677,0
-0.218697,-0.0968468,0.276808,0
-0.182051,-0.13081,0.381908,0
-0.11165,-0.139795,0.455132,0
-0.0389525,-0.138681,0.457329,0
0.011441,-0.144023,0.458453,0
0.120645,-0.172017,0.500223,0
0.206368,-0.220286,0.568864,0
0.30853,-0.232523,0.635495,0
0.400306,-0.25373,0.684226,0
0.504951,-0.272954,0.729136,0
0.621114,-0.266132,0.764011,0
0.734004,-0.286317,0.792509,0
0.837746,-0.300619,0.810062,0
0.949488,-0.305394,0.819137,0
1.07842,-0.312421,0.809221,0
1.19368,-0.319295,0.786042,0
1.30708,-0.325186,0.772242,0
1.40685,-0.313238,0.787814,0
1.51351,-0.315237,0.808725,0
1.62828,-0.331678,0.846509,0
1.73919,-0.334894,0.873942,0
1.87389,-0.333461,0.884419,0
1.97657,-0.347044,0.880107,0
2.11051,-0.344628,0.871746,0
2.22615,-0.333492,0.865455,0
2.3508,-0.352271,0.856135,0
2.45438,-0.38102,0.845577,0
2.56849,-0.383121,0.831436,0
2.68167,-0.384684,0.81453,0
2.79026,-0.394892,0.793166,0
2.90424,-0.370283,0.770626,0
3.04845,-0.333812,0.758991,0
3.12719,-0.303088,0.678114,0
3.15717,-0.267367,0.581079,0
3.16327,-0.241127,0.524493,0
3.15499,-0.232839,0.49812,0
3.16908,-0.230048,0.468214,0
3.16892,-0.233536,0.441308,0
3.16692,-0.235217,0.420854,0
3.15969,-0.107257,0.43253,0
3.16309,-0.246895,0.413883,0
3.16196,-0.240535,0.390921,0
3.14814,-0.230361,0.374123,0
3.14972,-0.221569,0.341938,0
3.14883,-0.227565,0.304117,0
3.14045,-0.235588,0.308544,0
3.12358,-0.226531,0.268158,0
3.11452,-0.215811,0.247744,0
3.21291,-0.210556,0.280374,0
3.3046,-0.232302,0.341147,0
3.41164,-0.244862,0.376737,0
3.49453,-0.231738,0.286513,0
3.54057,-0.220427,0.193791,0
3.54816,-0.215933,0.0940601,0
3.54036,-0.20955,0.0189944,0
3.56425,-0.209251,-0.0826579,0
3.55897,-0.175999,-0.182235,0
3.51572,-0.163473,-0.263399,0
3.45852,-0.148215,-0.348614,0
3.4531,-0.174758,-0.471678,0
3.46725,-0.122985,-0.600236,0
3.46043,-0.0840249,-0.700757,0
3.43103,-0.0410169,-0.795038,0
3.38088,-0.0176509,-0.888633,0
