x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-7.15649e-17,1.44059e-32,0.584372
-7.71283e-17,1.55258e-32,0.629801
-8.21962e-17,1.65459e-32,0.671183
-8.40071e-17,1.69105e-32,0.68597
-9.01619e-17,1.81494e-32,0.736228
-9.52293e-17,1.91695e-32,0.777606
-9.77544e-17,1.96778e-32,0.798225
-1.00803e-16,2.02914e-32,0.823117
-1.03246e-16,2.07831e-32,0.843064
-1.05416e-16,2.12199e-32,0.860783
-1.08921e-16,2.19255e-32,0.889405
-1.1097e-16,2.23381e-32,0.906139
-1.10447e-16,2.22327e-32,0.901867
-1.13427e-16,2.28326e-32,0.926201
-1.13515e-16,2.28504e-32,0.926923
-1.1561e-16,2.32722e-32,0.944031
-1.15678e-16,2.32858e-32,0.944583
-1.16429e-16,2.34369e-32,0.950712
-1.15593e-16,2.32687e-32,0.94389
-2.86775e-07,1.4251e-05,0.944958
-0.000345941,2.04234e-05,0.951985
0.0773308,-0.094796,0.954404
0.0777771,-0.0965988,0.949059
0.0831941,-0.0994396,0.950093
0.084152,-0.100797,0.949264
0.0889878,-0.0962977,0.955934
0.0919351,-0.0935769,0.946389
0.0976325,-0.0926278,0.959909
0.0942131,-0.09473,0.966036
0.101459,-0.0952737,0.963003
0.111784,-0.0965812,0.967448
0.118424,-0.0972514,0.967843
0.127036,-0.0958825,0.967758
0.137766,-0.0954535,0.971907
0.147527,-0.0961344,0.97281
0.160538,-0.0947163,0.967125
0.177585,-0.090495,0.968619
0.192859,-0.0907246,0.965141
0.216154,-0.0880375,0.968701
0.235858,-0.0886744,0.964804
0.267607,-0.0886906,0.963744
0.319137,-0.0888374,0.95673
0.354387,-0.0841404,0.955124
0.381488,-0.0847262,0.952497
0.417132,-0.0828397,0.952572
0.456861,-0.0780404,0.957833
0.484202,-0.0779785,0.958055
0.524402,-0.0768483,0.962574
0.579347,-0.0784953,0.965836
0.586311,-0.0783869,0.979562
