time,x,y,z,roll,pitch,yaw
1.034446,0,0,0,-0.0507913,0.0346089,0.0389101,0
1.167923,0,0,0,-0.0911965,0.0364181,0.0658013,1
1.705705,0,0,0,-0.0899547,0.0733956,0.0813435,2
3.264058,0.0777771,-0.0965988,0.949059,-0.119208,0.0196006,0.0567319,3
3.566096,0.0976324,-0.0926278,0.959909,-0.0905024,0.027886,0.0460746,4
3.800729,0.118424,-0.0972514,0.967843,-0.0686131,0.0164145,0.0479946,5
4.001357,0.147527,-0.0961344,0.97281,-0.056412,0.00892727,0.0472371,6
4.101655,0.177585,-0.090495,0.968619,-0.0376027,0.00867024,0.0576512,7
4.235386,0.216153,-0.0880375,0.968701,-0.0348086,0.0125159,0.0556802,8
4.402550,0.319137,-0.0888374,0.95673,-0.0357562,0.0110763,0.0424581,9
4.469415,0.354387,-0.0841404,0.955124,-0.0465577,0.0169328,0.038977,10
4.536281,0.381488,-0.0847262,0.952497,-0.0525387,0.0175818,0.0364694,11
4.636579,0.456861,-0.0780404,0.957833,-0.0686525,-1.94011e-05,0.0255313,12
4.703445,0.484202,-0.0779785,0.958055,-0.0755897,-0.00148712,0.0242905,13
4.770342,0.524402,-0.0768484,0.962574,-0.0819013,-0.00400627,0.0279235,14
4.837334,0.579347,-0.0784953,0.965836,-0.0748581,-0.0157451,0.0295052,15
4.937982,0.644137,-0.0813833,0.970694,-0.0610809,-0.0120455,0.0390783,16
5.307711,0.890664,-0.0863041,0.969851,-0.106015,-0.0171917,0.134682,17
5.374957,0.948342,-0.0902673,0.973221,-0.123933,-0.0308359,0.150834,18
5.475827,0.997991,-0.0865064,0.989505,-0.126573,-0.0409261,0.180631,19
5.543073,1.0546,-0.0860082,0.994536,-0.115674,-0.0454563,0.191025,20
5.610320,1.08566,-0.0660759,0.988286,-0.105148,-0.049394,0.192745,21
5.677566,1.11797,-0.0679717,0.98832,-0.0938617,-0.0495485,0.194678,22
5.744813,1.15471,-0.0674805,0.969276,-0.0807216,-0.054122,0.195767,23
5.778404,1.17613,-0.0787237,0.96491,-0.0758853,-0.0524067,0.208715,24
5.845524,1.21717,-0.0221019,0.984723,-0.0763011,-0.0414322,0.194993,25
5.912548,1.26032,0.00164158,0.97908,-0.0860992,-0.0399469,0.181865,26
5.979477,1.30431,-0.0386574,0.989564,-0.104603,-0.0267398,0.187071,27
6.046343,1.35637,-0.0494553,1.01348,-0.11388,-0.019158,0.178877,28
6.079775,1.36534,-0.070024,0.984383,-0.111409,-0.0238049,0.178136,29
6.146641,1.40603,-0.0982045,0.987643,-0.105994,-0.0190563,0.174724,30
6.213506,1.45005,-0.0957245,0.997688,-0.0904982,-0.0106249,0.167175,31
6.280372,1.47518,-0.0748657,0.957701,-0.0823335,-0.012218,0.166755,32
6.347237,1.52517,-0.0944598,0.943274,-0.0830506,-0.0189416,0.187985,33
6.380670,1.5655,-0.111157,1.01654,-0.0747784,0.00332942,0.201619,34
6.514401,1.67297,-0.156108,0.992267,-0.0792176,-0.0204112,0.238483,35
6.581267,1.72583,-0.15963,1.04832,-0.0760763,0.0060572,0.260283,36
6.648132,1.77909,-0.169615,1.08374,-0.0640995,0.00797115,0.273811,37
6.681565,1.7966,-0.178385,1.06588,-0.0670825,-0.000274782,0.278205,38
6.748430,1.81952,-0.174655,1.02726,-0.0794971,-0.00583796,0.2844,39
6.815296,1.85612,-0.171387,1.02847,-0.083396,-0.00136709,0.289458,40
6.949027,1.94518,-0.17734,1.05147,-0.0794014,-0.00692966,0.291628,41
6.982491,1.95594,-0.169841,1.03544,-0.0775656,-0.0091483,0.284733,42
7.049484,1.97857,-0.154138,0.985433,-0.0711811,-0.0168047,0.273796,43
7.116572,2.03067,-0.147617,1.02312,-0.0579331,0.00778133,0.264775,44
7.250842,2.11409,-0.15629,1.09474,-0.0605335,0.0437826,0.262643,45
7.284434,2.13429,-0.123417,1.06396,-0.0976,0.0178991,0.25121,46
7.351617,2.16978,-0.109104,1.04572,-0.109339,0.0141149,0.250834,47
7.485983,2.23235,-0.110358,1.0375,-0.100718,0.0192006,0.247979,48
7.519574,2.23149,-0.0785711,0.951385,-0.093705,-0.00317213,0.238471,49
7.586757,2.26472,-0.115304,0.978148,-0.0848334,0.0173738,0.256108,50
7.721123,2.34033,-0.127594,0.973503,-0.0913215,0.022894,0.2805,51
7.788306,2.38602,-0.140789,0.995211,-0.0955809,0.0192297,0.291593,52
7.821898,2.40066,-0.114281,0.939768,-0.107979,-0.00337528,0.292314,53
7.956264,2.473,-0.175241,0.964298,-0.0948115,0.0279438,0.338367,54
8.023447,2.49923,-0.161256,0.969223,-0.100153,0.0248834,0.336356,55
8.090630,2.53111,-0.174945,0.941205,-0.117966,0.0195954,0.344773,56
8.191404,2.5764,-0.163552,0.945585,-0.122708,0.0302401,0.345794,57
8.258524,2.61534,-0.171274,0.953831,-0.112975,0.0337033,0.349939,58
8.392445,2.67761,-0.142409,0.953915,-0.0985811,0.0411908,0.320504,59
8.559768,2.77259,-0.106517,0.953871,-0.117159,0.0485436,0.272484,60
8.626697,2.80874,-0.0954954,0.936545,-0.138903,0.0520255,0.251016,61
8.727090,2.86365,-0.0758859,0.919236,-0.138487,0.0407068,0.206045,62
8.794019,2.89469,-0.0505112,0.925742,-0.139372,0.0495183,0.182826,63
8.927877,2.96722,-0.0316109,0.943858,-0.127345,0.0538088,0.135544,64
9.028271,3.02281,-0.00748387,0.939772,-0.130238,0.0509318,0.101262,65
9.095200,3.06221,0.0224114,0.952108,-0.135585,0.0598954,0.0676652,66
9.229058,3.13885,0.0401406,0.946192,-0.129772,0.0450052,0.0170042,67
9.362916,3.22479,0.0610987,0.940579,-0.116134,0.0442471,-0.0499737,68
9.463309,3.28016,0.0706303,0.944704,-0.102255,0.060059,-0.105686,69
9.530238,3.3209,0.0807559,0.949606,-0.0917612,0.0600266,-0.150293,70
9.664096,3.39436,0.085166,0.959134,-0.10362,0.062862,-0.240494,71
9.764490,3.44121,0.0772172,0.963936,-0.10898,0.062715,-0.300909,72
9.831419,3.46777,0.064205,0.968875,-0.113053,0.0652208,-0.341036,73
9.965467,3.54324,0.0743584,0.988077,-0.143175,0.0889295,-0.455111,74
10.066178,3.57132,0.0559392,0.982726,-0.155425,0.0861035,-0.518665,75
10.200544,3.60883,0.0383441,0.976194,-0.162524,0.0919924,-0.624371,76
10.234136,3.62505,0.0101931,0.992623,-0.162268,0.105898,-0.664438,77
10.368502,3.66847,0.0147143,0.988182,-0.157982,0.100823,-0.762501,78
10.435685,3.68668,0.00646953,0.993239,-0.161024,0.0959512,-0.816624,79
