x,y,z,valid
-0.0139819,-0.00677186,1.17729,1
-0.0139819,-0.00677186,1.17752,1
-0.0139819,-0.00677186,1.17751,1
-0.0139819,-0.00677186,1.17695,1
-0.0139819,-0.00677186,1.17997,1
-0.0139819,-0.00677186,1.17988,1
-0.0139819,-0.00677186,1.18147,1
-0.0139819,-0.00677186,1.181,1
-0.0139819,-0.00677186,1.18012,1
-0.0139819,-0.00677186,1.18054,1
-0.0139819,-0.00677186,1.17856,1
-0.0141504,-0.00723185,1.17774,1
0.00450725,-0.0225874,0.0364522,1
0.00322122,-0.0210357,0.0149907,1
0.00659356,-0.025029,0.00584206,1
0.0174163,-0.0256746,0.000120335,1
0.0166843,-0.0300671,2.04324e-18,1
0.017299,-0.0302213,2.11852e-18,1
0.0169975,0.00848077,2.08159e-18,1
0.0206975,0.00613259,2.53471e-18,1
0.0187826,-0.00713572,2.30021e-18,1
0.0244847,0.00393105,2.9985e-18,1
0.025908,0.000912287,3.17282e-18,1
0.0189855,-0.0100026,2.32505e-18,1
0.0136252,-0.00943667,1.6686e-18,1
0.00916878,-0.00994508,1.12285e-18,1
0.00509017,-0.00926177,6.23366e-19,1
0.00195935,-0.00657358,2.39951e-19,1
-0.00349194,-0.00862741,-4.27639e-19,1
-0.00643072,-0.00999909,-7.87536e-19,1
0.000415603,-0.0148209,5.08967e-20,1
0.00625619,-0.0103661,7.66162e-19,1
0.0149476,-0.0109711,1.83055e-18,1
0.0189235,-0.0154164,2.31746e-18,1
0.0191264,-0.0261608,2.3423e-18,1
0.0183769,-0.0371392,2.25052e-18,1
0.0178074,-0.0405438,2.18078e-18,1
0.00338774,-0.0465375,4.14878e-19,1
-0.00154076,-0.0528252,-1.88689e-19,1
-0.0044872,-0.0525042,-5.49523e-19,1
-0.0009829,-0.0476114,-1.2037e-19,1
0.00962302,-0.0366707,1.17848e-18,1
0.00974122,-0.0253232,1.19296e-18,1
0.0124886,-0.0196775,1.52941e-18,1
0.0134665,-0.0154622,1.64917e-18,1
0.012001,-0.00902683,1.4697e-18,1
0.0121952,-0.0130778,0.00651896,1
0.0130342,-0.0191635,0.018497,1
0.0109525,-0.0174017,0.0239972,1
0.00208351,-0.0117148,0.0220017,1
-0.00122208,-0.0111538,0.0170675,1
0.00423429,-0.00726055,0.0103628,1
0.00671542,-0.0130508,0.00679164,1
0.00940771,-0.0117688,0.00447746,1
0.00653754,-0.011418,0.00146864,1
0.0163094,-0.01216,0.00142216,1
0.0180832,-0.00890944,0.00207536,1
0.0179093,-0.0121936,0.00227735,1
0.0175404,-0.0100974,0.00439073,1
0.0176112,-0.0117542,0.0050583,1
0.0118158,-0.0111625,0.00549064,1
0.00800602,-0.0113608,0.00585411,1
0.00937975,-0.0104814,0.00634643,1
0.00616115,-0.0100295,0.00652595,1
0.0118312,-0.00490489,0.00720694,1
0.0153531,-0.00487916,0.00738853,1
0.0159073,-0.00543433,0.00708548,1
0.0175077,-0.0106384,0.00669595,1
0.0166759,-0.0138091,0.00698694,1
0.0138593,-0.0116954,0.00687375,1
0.0119272,-0.016179,0.00666178,1
-0.000364867,-0.0130074,0.00690264,1
0.0126457,-0.009985,0.00653629,1
0.0144409,-0.00661885,0.00680039,1
0.0118132,0.0058412,0.0074071,1
0.00679026,0.00615509,0.00801121,1
0.0196539,0.0081186,0.0105179,1
0.0166591,0.00265129,0.0128611,1
0.0145204,0.00428125,0.012905,1
0.00869205,-0.0090437,0.00988735,1
0.00707568,-0.0201499,0.00722398,1
0.0038275,-0.0125181,0.00721225,1
0.00892192,-0.0105931,0.00697815,1
0.00637625,-0.00616536,0.00639736,1
0.00649617,2.8749e-05,0.00625097,1
-0.00187959,0.00314653,0.00618141,1
0.00880477,0.0130549,0.00632104,1
0.0120076,0.0100467,0.00642419,1
0.00691762,0.0139464,0.00649667,1
0.0151985,0.00546514,0.0063598,1
0.00970333,0.00879468,0.00667121,1
0.0191167,0.00132132,0.00717827,1
0.0165267,-0.00174302,0.0116528,1
0.0176453,-0.00312956,0.0177901,1
0.0129714,-0.00510567,0.0295164,1
0.0134954,-0.0102402,0.036794,1
0.00761246,-0.00351951,0.0341261,1
0.00798288,-0.00460815,0.0275126,1
0.00396838,-0.00404676,0.0224772,1
0.00796045,-0.00784826,0.0185335,1
0.0120787,-0.00289971,0.0120023,1
0.0155536,-0.0052929,0.00881621,1
0.0163556,-0.00830855,0.00757892,1
0.0164487,-0.0070546,0.00775162,1
0.0158547,-0.00599266,0.00808119,1
0.00625445,0.00363232,0.00775329,1
0.00456929,0.00330754,0.0075364,1
0.0135356,0.000969998,0.00763435,1
0.0138702,0.00290337,0.00747397,1
0.0120213,0.00542727,0.00729235,1
0.010481,0.00653027,0.0073879,1
0.00234693,0.0154332,0.00737177,1
0.0060673,0.0151307,0.00726251,1
0.0111773,0.00827839,0.00743569,1
0.00465295,0.016775,0.00756497,1
0.0101636,0.0109852,0.00793404,1
0.0117399,0.00868494,0.00802441,1
0.00484142,0.0183644,0.00814165,1
0.0103109,0.0106777,0.00823716,1
0.0101124,0.0106462,0.00858506,1
0.0115276,0.00922768,0.0094837,1
0.00608239,0.0168816,0.0102306,1
0.00765941,0.00482807,0.0163638,1
0.0147551,-0.00384364,0.0215567,1
0.0106667,-0.00369074,0.0297254,1
0.00878833,-0.00754942,0.0322488,1
0.00715623,-0.00635618,0.0305484,1
0.00400127,-0.00977171,0.0259137,1
0.00340836,-0.0124793,0.0223199,1
0.00522416,-0.00330774,0.0122182,1
0.00939171,-0.0109408,0.00681145,1
0.0113031,-0.0112301,0.00624842,1
0.012927,-0.0146095,0.00586392,1
0.0134069,-0.0134614,0.00554866,1
0.00804769,0.00119894,0.00486705,1
0.013668,-0.00405372,0.00471629,1
0.00925029,0.00683041,0.00453588,1
0.011435,0.00482494,0.00452396,1
0.0106023,0.0105303,0.00402148,1
0.0154158,-0.00460598,0.00320395,1
0.0144511,-0.00244597,0.0029496,1
0.0157573,-0.00481279,0.00341256,1
0.0121333,0.00701144,0.00309937,1
0.015148,-0.00492664,0.00249325,1
0.0158079,-0.00596101,0.00217632,1
0.0153553,-0.00321673,0.00167826,1
0.0165193,-0.00562552,0.00147359,1
0.0161036,-0.00261303,0.000970144,1
0.0163419,-0.0054589,0.00115055,1
0.0137063,0.00691621,0.000757156,1
0.0154988,-0.00325482,0.00108963,1
0.015793,-0.00407416,0.00112061,1
0.0134282,0.00896161,0.00076194,1
0.0149912,-0.00332668,0.000997929,1
0.0153754,-0.00685081,0.000874343,1
0.0154989,-0.00296664,0.00102627,1
0.0135133,0.0106169,0.000765531,1
0.0148089,-0.00376339,0.00103169,1
0.0130143,0.0099493,0.000846545,1
0.0151239,-0.00523763,0.00111623,1
0.0136055,0.00856702,0.000942355,1
0.0153203,-0.0031646,0.00135184,1
0.0140444,0.0109913,0.00124511,1
0.0163996,-0.00548602,0.0013717,1
0.015923,-0.000657772,0.00156924,1
0.0154211,-0.00420407,0.00179417,1
0.0156078,-0.00165251,0.00192838,1
0.0152232,-0.00549294,0.00203593,1
0.0153817,-0.00132752,0.00204605,1
0.0154101,-0.00660081,0.00221983,1
0.015245,-0.00358531,0.00237937,1
0.0149222,0.0111571,0.00229887,1
0.0154435,-0.0049084,0.00245788,1
0.0153764,0.00988598,0.00235729,1
0.0150968,-0.00436291,0.00251148,1
0.0160517,-0.00379893,0.00272877,1
0.0148573,-0.00547787,0.00255254,1
0.01544,-0.00270546,0.00268123,1
0.0159685,0.0129003,0.00256366,1
0.0162748,-0.00182659,0.00245794,1
0.016372,-0.00299216,0.00241092,1
0.0151837,-0.00823153,0.00238236,1
0.0172673,-0.00482936,0.00232276,1
0.0185106,0.0101918,0.00223669,1
0.0162699,-0.00853119,0.00213443,1
0.0163038,-0.00514201,0.00228022,1
0.0177261,0.00993917,0.00213292,1
0.0158171,-0.00662349,0.00210695,1
0.0174386,0.00830365,0.00195052,1
0.0154815,-0.00856776,0.00192027,1
0.0182923,0.0139257,0.00160683,1
0.0153437,-0.0043968,0.00212564,1
