x,y,z,roll,pitch,yaw,valid
0,0,0,0.00301041,0.011319,-0.00127487,0
0,0,0,-0.0313752,0.00519701,0.000105099,0
0,0,0,-0.072186,-0.0759418,0.0152145,0
0,0,0,-0.0844564,-0.0644439,0.0185622,0
0,0,0,-0.0439754,-0.0528229,0.00337787,0
0,0,0,-0.0325614,-0.0852967,-0.00435381,0
0,0,0,-0.0188434,-0.069203,-0.0186022,0
-4.4065e-17,8.8702e-33,0.359818,0.0277125,-0.0606455,-0.0500976,3
-4.96225e-17,9.9889e-33,0.405198,0.00449984,-0.0583521,-0.0324233,0
-5.67239e-17,1.14184e-32,0.463186,0.016285,-0.0554665,-0.0484115,0
-7.36102e-17,1.48176e-32,0.601073,0.0298472,-0.0241821,-0.0548717,3
-7.83253e-17,1.57667e-32,0.639575,0.0180505,-0.0180774,-0.0502722,0
-8.0748e-17,1.62544e-32,0.659358,0.0204341,-0.00599394,-0.038082,0
-8.47664e-17,1.70633e-32,0.69217,0.0231728,0.00104572,-0.0351217,0
-8.80439e-17,1.77231e-32,0.718933,0.0192719,0.00308154,-0.0309562,0
-8.9452e-17,1.80065e-32,0.730431,0.0170706,0.00375401,-0.0137492,0
-3.16102e-07,5.94982e-06,0.693281,0.0133819,0.015208,-0.00384669,0
-0.00452127,0.0299917,0.696562,0.00645187,0.027187,0.016685,0
-0.00594131,0.0303367,0.702765,0.00102357,0.0306317,0.0224368,0
-0.00412304,0.0296548,0.697759,-0.00145783,0.0295974,0.024418,0
0.00579054,0.025666,0.717104,-0.00701873,0.0487259,0.0409318,0
0.0367363,0.0272184,0.723099,-0.000352656,0.0428694,0.0471402,0
0.0606039,0.0288826,0.727845,-0.00798568,0.0371873,0.052862,0
0.108773,0.032803,0.713161,0.0193966,0.0370276,0.0322879,0
0.148683,0.0388845,0.717857,-0.00337621,0.0238935,0.00668843,0
0.194749,0.0418198,0.705827,0.0111811,0.00973329,0.0114535,0
0.203613,0.0427393,0.73573,0.0202853,0.00245637,0.0189476,0
