time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
7.520114,-0.00498179,-0.0407617,-0.00702873,-0.00205409,-0.00501539,0.030219,0,0,-2.08829e-05,4.09774e-05,-2.55742e-21,-0.0189491,-0.0090375,-0.00349919
11.844369,-0.00662659,-0.0228431,0.00142915,-0.00824868,0.0242179,0.00646877,1,0,-0.00559953,-0.0435504,-6.85744e-19,-0.0233376,0.0299774,0.00504978
11.911234,-0.00912374,-0.0194136,0.00173692,-0.00192657,0.0463387,-0.00281073,2,0,-0.00668877,-0.0257156,-8.19138e-19,-0.0162334,0.0511718,-0.00266926
12.145264,-0.0126386,-0.0262474,0.0164465,0.00845164,0.0107398,0.00407656,3,0,-0.0175461,-0.0201539,-2.14877e-18,-0.0211514,-0.0119619,0.00963302
12.245562,-0.0140269,-0.026968,0.0262055,0.00549763,-0.0430677,0.00729084,4,0,-0.0182573,-0.0226373,0.00554998,-0.0111649,-0.0428971,0.0187913
12.379547,-0.019204,-0.0249279,0.0497514,0.0156181,-0.0578224,0.020897,5,0,-0.0158138,-0.0260602,0.0122141,-0.00416165,-0.049806,0.0288467
12.513913,-0.0256487,-0.025,0.0644464,0.0288071,-0.0741558,0.0329255,6,0,-0.0224624,-0.0240168,0.0237135,0.00335651,-0.0616526,0.0370035
12.614783,-0.030316,-0.0271559,0.0764823,0.037272,-0.0722105,0.0349041,7,0,-0.0273467,-0.0253845,0.0478217,0.0135359,-0.0597751,0.0369544
12.816522,-0.0333735,-0.0297479,0.0867924,0.0441392,-0.0730166,0.0323049,8,0,-0.0335149,-0.0290969,0.0644977,0.0112919,-0.0666511,0.0346094
13.287089,-0.0311261,-0.0364143,0.092748,0.027875,-0.0671091,0.0172986,9,0,-0.0312005,-0.0366165,0.0874413,-0.000455627,-0.0596747,0.0214139
13.588142,-0.0334095,-0.0375863,0.103681,0.0397637,-0.0548886,0.00924426,10,0,-0.032182,-0.038631,0.0940863,0.0155781,-0.0462125,0.0135648
13.755306,-0.0355177,-0.0376864,0.116182,0.0564435,-0.0515632,0.00909079,11,0,-0.0340178,-0.0376607,0.0970548,0.0303621,-0.0431941,0.0152446
14.123066,-0.0348515,-0.0427396,0.126882,0.064435,-0.0518224,0.00148606,12,0,-0.0367578,-0.0395907,0.114076,0.0356099,-0.0449562,0.00679596
14.793182,-0.0298352,-0.047375,0.1227,0.0527192,-0.0393489,-0.0218625,13,0,-0.0322035,-0.0468552,0.124913,0.0258785,-0.0339419,-0.0155945
14.961139,-0.0245798,-0.0490509,0.112488,0.0362714,-0.045415,-0.0305149,14,0,-0.0277724,-0.046729,0.124192,0.00865676,-0.0402564,-0.0250872
