time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
3.701192,0.00193861,0.00661707,-0.0100692,-0.0150069,0.00115982,-0.0062236,0,0,0,0,0,-0.013721,0.000171848,-0.0104727
3.834796,8.19373e-05,0.00666944,-0.00325942,-0.0336547,0.000236061,-0.00402218,1,0,0,0,0,-0.0357586,-0.00282802,-0.00648944
3.934999,7.12454e-05,0.000884815,4.24891e-05,-0.0536386,-0.000389376,-0.00122122,2,0,0,0,0,-0.0616564,0.000328022,-0.00657777
4.135405,-0.000346926,-0.00812983,-0.00629678,-0.0450757,0.0101715,-0.00478211,3,0,0,0,0,-0.0376213,0.0194505,-0.0148552
4.168806,-0.00579057,0.00851028,0.0137908,-0.0262905,0.0189034,-0.0141877,4,0,0,0,0,-0.0158135,0.0209559,-0.0180991
4.235608,-0.00375186,-0.00150796,0.020233,-0.00821303,0.0173333,-0.0122442,5,0,0,0,0,-0.00798091,0.0141904,-0.0166383
4.369276,-0.00275717,-0.0034333,0.0381999,-0.0069483,0.00569746,-0.00600321,6,0,0,0,0,-0.0130251,0.00382205,-0.00744311
4.436268,0.000480558,-0.00100347,0.0426059,-0.0129585,-0.00866389,0.00400237,7,0,0,0,0,-0.0205945,-0.00749849,0.00673194
4.536884,0.00132415,-0.0088952,0.0680205,-0.00700085,-0.0102659,0.0291697,8,0,0,0,0,-0.00489778,0.00228312,0.0246402
4.738560,0.00654143,-0.0012155,0.107861,0.029607,0.0181989,0.0104858,9,0,0,0,0,0.0242595,0.0256266,0.00141449
4.772183,0.00623204,-0.0320566,0.116483,0.0472834,0.0118851,0.00141718,10,0,0,0,0,0.037224,0.0208012,-0.0188629
4.906676,0.0249686,-0.00552881,0.156322,0.0480426,0.0040754,-0.0358046,11,0,0,0,0,0.0439211,-1.40746e-07,-0.0429211
