time,x,y,z,roll,pitch,yaw
0.133477,0,0,0,0,-0,0,1
0.433800,0.0120438,0.0892448,-0.00246043,-0.00130186,-0.00101108,-0.0240999,3
1.808289,0.00914955,0.140076,-0.0606895,-0.00144031,-0.0288388,0.0326736,5
2.490914,8.55213e-05,0.247577,-0.0484301,-0.0212898,-0.0264619,0.154499,8
2.793015,-0.00831859,0.365405,-0.0456521,-0.0242663,-0.028353,0.0893685,10
3.228467,-0.0264697,0.386328,-0.0638384,-0.0382598,-0.0266506,0.210555,12
4.068032,-0.0193396,0.425561,-0.0425395,-0.0186346,-0.018912,0.178574,14
4.370292,-0.0470371,0.535517,-0.0265842,-0.0331626,-0.00788362,0.19378,16
4.504213,-0.0455658,0.589913,-0.00884059,-0.0379579,0.00138929,0.175525,17
4.604607,-0.0453748,0.638691,-0.034991,-0.0323292,-0.0126688,0.157853,18
4.838858,-0.0709028,0.698341,-0.0375161,-0.0342901,-0.0086726,0.137751,20
4.972716,-0.0728258,0.73985,-0.0420622,-0.0517983,-0.00889657,0.193698,21
5.039645,-0.0857779,0.788743,-0.0517637,-0.0523858,-0.0126623,0.220558,22
5.273897,-0.0905853,0.847714,-0.0687283,-0.0661606,-0.0177872,0.275484,24
5.407755,-0.101134,0.90273,-0.0546753,-0.0632977,-0.00852518,0.311187,25
5.575077,-0.108013,0.946181,-0.0778832,-0.0731588,-0.017605,0.337453,26
5.708935,-0.109289,0.979265,-0.0908523,-0.0774114,-0.0204419,0.38703,27
6.010179,-0.123991,1.07461,-0.124724,-0.0881215,-0.0318764,0.4125,29
6.144482,-0.139995,1.13436,-0.121923,-0.0853086,-0.0312252,0.370017,30
6.379622,-0.15116,1.20186,-0.107071,-0.081991,-0.0228931,0.376748,32
6.614763,-0.181733,1.29942,-0.122485,-0.0842986,-0.0293667,0.340678,34
