X,Y,Z,roll, pitch, yaw
0,0,0,0
-0.0264891,0.00318975,0.0287897,0,-0,0
-0.0399822,0.0121701,0.0514869,0.00116966,0.0976418,-0.00621094
-0.0489901,0.0125293,0.0756699,0.00264737,0.201697,-0.036024
0.0430458,-0.0216392,0.0814108,-0.00285786,0.300349,-0.0475841
0.144716,-0.0237468,0.0912725,-0.0624598,0.276843,-0.0679861
0.244854,-0.0240302,0.0910556,-0.0653455,0.215981,-0.0872607
0.346815,-0.0312823,0.0936982,-0.065007,0.214539,-0.0898794
0.445823,-0.0256587,0.104913,-0.0751054,0.205716,-0.0938234
0.452016,-0.0234438,0.0269941,-0.0670226,0.19734,-0.0901895
