time,x,y,z,roll,pitch,yaw,framenum,valid
0.500538,0,0,0,0,-0,0,0,0
13.797216,0.00697773,-0.0486167,0.0205977,-0.00640703,0.079945,-0.068791,4,0
17.384014,-0.0126171,-0.00799225,0.0118835,0.00553841,0.0145837,-0.212604,9,0
20.834477,-0.0269129,-0.00244624,0.0184394,0.00432961,0.0213595,-0.234768,14,0
22.243796,-0.029901,-0.0489094,0.0620275,0.0156984,-0.0324401,-0.0512294,18,0
22.711854,-0.0409741,-0.0573733,0.108952,0.0154544,-0.0488667,0.0454306,20,0
23.449915,-0.075156,-0.078799,0.173788,0.0118452,-0.0485969,0.169374,23,0
25.493599,-0.353971,-0.183696,0.228,0.00622752,-0.0699141,0.334626,32,0
27.739054,-0.338281,-0.194894,0.369883,0.0256384,-0.0470846,0.266549,37,0
30.992032,-0.261369,-0.161181,0.119533,-0.0355947,-0.00887022,0.564833,48,0
32.397573,-0.170849,-0.151132,0.0814479,-0.0306148,-0.0216769,0.786229,53,0
35.516121,-0.172295,-0.202204,0.101977,0.028725,-0.0661547,0.248848,66,0
38.900544,-0.179274,-0.1321,0.0786233,0.0549918,0.0261559,0.0525734,73,0
39.503000,-0.111288,-0.0845388,0.0415087,0.0117702,0.0372932,0.0315959,76,0
40.811259,-0.00961779,-0.0414776,-0.00841585,0.00220022,0.0059598,-0.0230095,80,0
