time,flight mode,control,x,y,z,yaw,wall_angle,wall_dist
1495267878.646266838,0,1,0,0,0.75,0,0,-0.309957
1495267878.653033281,0,1,0,0,0.75,0,0,-0.309957
1495267878.659687934,0,1,0,0,0.75,0,0,-0.309957
1495267878.666351128,0,1,0,0,0.75,0,0,-0.309957
1495267878.673018989,0,1,0,0,0.75,0,0,-0.309957
1495267878.679698684,0,1,0,0,0.75,0,0,-0.309957
1495267878.686361295,0,1,0,0,0.75,0,0,-0.309957
1495267878.693026281,0,1,0,0,0.75,0,0,-0.309957
1495267878.699723100,0,1,0,0,0.75,0,0,-0.309957
1495267878.715377094,0,1,0,0,0.75,0,0,-0.309957
1495267878.715853757,0,1,0,0,0.75,0,0,-0.309957
1495267878.719711599,0,1,0,0,0.75,0,0,-0.309957
1495267878.726354502,0,1,0,0,0.75,0,0,-0.309957
1495267878.733030696,0,1,0,0,0.75,0,0,-0.309957
1495267878.739691766,0,1,0,0,0.75,0,0,-0.309957
1495267878.746360002,0,1,0,0,0.75,0,0,-0.309957
1495267878.753026446,0,1,0,0,0.75,0,0,-0.309957
1495267878.759700182,0,1,0,0,0.75,0,0,-0.309957
1495267878.766373585,0,1,0,0,0.75,0,0,-0.309957
1495267878.773035362,0,1,0,0,0.75,0,0,-0.309957
1495267878.779704848,0,1,0,0,0.75,0,0,-0.309957
1495267878.786377543,0,1,0,0,0.75,0,0,-0.309957
1495267878.793032195,0,1,0,0,0.75,0,0,-0.309957
1495267878.800081553,0,1,0,0,0.75,0,0,-0.309957
1495267878.806387376,0,1,0,0,0.75,0,0,-0.309957
1495267878.813052570,0,1,0,0,0.75,0,0,-0.309957
1495267878.819709514,0,1,0,0,0.75,0,0,-0.309957
1495267878.826424125,0,1,0,0,0.75,0,0,-0.309957
1495267878.833045528,0,1,0,0,0.75,0,0,-0.309957
1495267878.839756014,0,1,0,0,0.75,0,0,-0.309957
1495267878.846389792,0,1,0,0,0.75,0,0,-0.309957
1495267878.853134985,0,1,0,0,0.75,0,0,-0.309957
1495267878.859722930,0,1,0,0,0.75,0,0,-0.309957
1495267878.866387166,0,1,0,0,0.75,0,0,-0.309957
1495267878.873053486,0,1,0,0,0.75,0,0,-0.309957
1495267878.879704638,0,1,0,0,0.75,0,0,-0.309957
1495267878.886389374,0,1,0,0,0.75,0,0,-0.309957
1495267878.893041110,0,1,0,0,0.75,0,0,-0.309957
1495267878.899714971,0,1,0,0,0.75,0,0,-0.309957
1495267878.906383332,0,1,0,0,0.75,0,0,-0.309957
1495267878.913043235,0,1,0,0,0.75,0,0,-0.309957
1495267878.919705721,0,1,0,0,0.75,0,0,-0.309957
1495267878.926379832,0,1,0,0,0.75,0,0,-0.309957
1495267878.933061609,0,1,0,0,0.75,0,0,-0.309957
1495267878.939710262,0,1,0,0,0.75,0,0,-0.309957
1495267878.946409040,0,1,0,0,0.75,0,0,-1
1495267878.953056567,0,1,0,0,0.75,0,0,-1
1495267878.959746512,0,1,0,0,0.75,0,0,-1
1495267878.966403998,0,1,0,0,0.75,0,0,-1
1495267878.973104775,0,1,0,0,0.75,0,0,-1
1495267885.039818904,1,1,0,-0.0641334,0.75,-0.00531778,-0.0354518,686.202
1495267885.179733360,1,1,0,-0.059825,0.75,-0.00555496,-0.0370331,700.421
1495267885.306392011,1,1,0,-0.0561084,0.75,-0.00621893,-0.0414595,712.459
1495267885.439705648,1,1,0,-0.0541,0.75,-0.005128,-0.0341867,719.831
1495267885.573072617,1,1,0,-0.0494,0.75,-0.00303957,-0.0202638,735.333
1495267885.706401921,1,1,0,-0.046375,0.75,-0.00128247,-0.00854979,746.306
1495267885.839717641,1,1,0,-0.0442333,0.75,-0.000949964,-0.00633309,753.261
1495267885.979734430,1,1,0,-0.0414667,0.75,-0.00132995,-0.00886636,762.691
1495267886.099723678,1,1,0,-0.03875,0.75,-9.5029e-05,-0.000633527,771.289
1495267886.226444994,1,1,0,-0.0368333,0.75,-0.000569963,-0.00379975,777.528
1495267886.359704382,1,1,0,-0.03455,0.75,0.000284982,0.00189988,784.894
1495267886.473106143,1,1,0,-0.0323833,0.75,0.00066499,0.00443327,793.661
1495267886.599910792,1,1,0,-0.0297833,0.75,0.00218483,0.0145656,801.716
1495267886.733044347,1,1,0,-0.0267333,0.75,0.000570015,0.0038001,812.347
1495267886.886400150,1,1,0,-0.0198667,0.75,0.000190006,0.0012667,834.781
1495267887.026402189,1,1,0,-0.0162,0.75,-0.000569963,-0.00379975,847.378
1495267887.173071547,1,1,0,-0.01105,0.75,-0.000854991,-0.00569994,863.912
1495267887.319706906,4,1,0,0,0.75,0.235491,0,883.922
1495267887.326369892,4,1,0,0,0.75,0.235459,0,883.922
1495267887.333067128,4,1,0,0,0.75,0.235459,0,883.922
1495267887.339749989,4,1,0,0,0.75,0.235459,0,883.922
1495267887.346421767,4,1,0,0,0.75,0.235459,0,883.922
1495267887.353040628,4,1,0,0,0.75,0.235459,0,883.922
1495267887.359713447,4,1,0,0,0.75,0.235459,0,883.922
1495267887.366385808,4,1,0,0,0.75,0.235444,0,883.922
1495267887.373110585,4,1,0,0,0.75,0.235444,0,883.922
1495267887.379721572,4,1,0,0,0.75,0.235444,0,883.922
1495267887.386375016,4,1,0,0,0.75,0.235444,0,883.922
1495267887.393045960,4,1,0,0,0.75,0.235444,0,883.922
1495267887.399704572,4,1,0,0,0.75,0.235393,0,883.922
1495267887.406371391,4,1,0,0,0.75,0.235393,0,883.922
1495267887.413043502,4,1,0,0,0.75,0.235393,0,883.922
1495267887.419712738,4,1,0,0,0.75,0.235393,0,883.922
1495267887.426373849,4,1,0,0,0.75,0.235393,0,883.922
1495267887.433043543,4,1,0,0,0.75,0.233841,0,883.922
1495267887.439706029,4,1,0,0,0.75,0.233841,0,883.922
1495267887.446373182,4,1,0,0,0.75,0.233841,0,883.922
1495267887.453048793,4,1,0,0,0.75,0.233841,-0.00569994,898.378
1495267887.459708195,4,1,0,0,0.75,0.233841,0,898.378
1495267887.466382723,4,1,0,0,0.75,0.233841,0,898.378
1495267887.473072376,4,1,0,0,0.75,0.231663,0,898.378
1495267887.479726112,4,1,0,0,0.75,0.231663,0,898.378
1495267887.486412014,4,1,0,0,0.75,0.231663,0,898.378
1495267887.493047625,4,1,0,0,0.75,0.231663,0,898.378
1495267887.499707611,4,1,0,0,0.75,0.231663,0,898.378
1495267887.506521888,4,1,0,0,0.75,0.231663,0,898.378
1495267887.513041375,4,1,0,0,0.75,0.229362,0,898.378
1495267887.519704736,4,1,0,0,0.75,0.229362,0,898.378
1495267887.526379097,4,1,0,0,0.75,0.229362,0,898.378
1495267887.533010667,4,1,0,0,0.75,0.229362,0,898.378
