X,Y,Z,LPE_Z
-0.0936169,0.0383605,-0.00858171,0.1
0.00834996,0.266109,-0.0178349,0.1
0.0814172,0.195541,-0.0369056,0.1
0.0161347,0.210758,-0.0334326,0.1
0.0279765,0.318524,-0.0206737,0.1
0.00515992,0.415997,-0.0183786,0.1
-0.0315843,0.582572,-0.00881281,0.1
0.333626,1.89973,-0.0635727,0.1
0.332169,1.9998,-0.0153046,0.1
-0.146699,2.16848,0.0987407,0.1
-0.207451,2.24542,0.119573,0.1
-0.280203,2.13955,0.142247,0.1
-0.205874,1.77743,0.0621054,0.1
-0.328473,1.92197,0.111049,0.1
-0.432438,2.0035,0.194269,0.1
-0.346782,1.94307,0.185988,0.1
-0.3351,1.83818,0.167579,0.1
-0.187685,1.83455,0.111835,0.1
-0.174376,1.73784,0.0753959,0.1
-0.0587415,2.0304,0.079677,0.1
-0.178667,1.94167,0.060703,0.1
-0.273128,1.88378,0.0192283,0.441249
-0.23216,1.7793,0.000532854,0.441249
-0.262854,1.63997,-0.0374315,0.441249
-0.172791,1.52716,-0.075779,0.441249
-0.167054,1.41977,-0.109397,0.441249
-0.204117,1.73391,-0.0184369,0.441249
