X,Y,Z,LPE_Z
0.165327,-0.0755928,0.0454625,0.1
0.0925428,0.138738,0.0224005,0.1
0.0981184,0.396038,0.0194675,0.1
0.0505396,0.49046,0.0223304,0.1
0.0459126,0.634712,0.000179018,0.538216
0.190721,0.568497,0.0237968,0.748418
0.318083,0.642747,0.0412904,0.825308
0.587524,0.508939,0.0781566,0.877923
0.579657,0.355188,0.0498616,0.943419
0.44261,0.24755,0.0985177,1.00339
0.381015,-0.014147,0.185982,1.0493
0.0514752,0.312074,0.156438,1.12955
0.132914,0.251702,0.186463,1.23659
0.0877595,0.387802,0.146271,1.27452
0.268837,0.532768,0.115646,1.27188
0.193683,0.430554,0.19599,1.16666
0.575581,0.421592,0.157249,1.04041
0.502127,0.330056,0.206372,0.908447
0.533829,0.238953,0.243986,0.728745
0.502192,0.127189,0.243597,0.607641
0.459926,-0.0444415,0.24524,0.423767
0.357469,-0.0440932,0.182854,0.350357
0.478242,-0.0553873,0.172567,0.283611
0.489391,0.0801753,0.128346,0.250464
0.617459,0.0429668,0.131117,0.199295
0.763544,-0.046455,0.193705,0.143897
0.925016,-0.0657895,0.235359,0.00396472
0.814709,-0.143503,0.199655,-3.12845e-18
0.704847,-0.207855,0.160619,0.1
